2 12.90984 1399152.00000000000000000000
4 13.46919 2688447.75000000000000000000
8 14.170728 5113881.75000000000000000000
16 13.783713 10534286.43750000000000000000
32 14.823066 19554396.09375000000000000000
40 14.948412 24245656.57500000000000000000
50 15.0949674 30013352.22000000000000000000
60 14.9667621 36328825.25000000000000000000
70 14.8372866 42749765.87142857142857142857
75 14.6885778 46271075.80000000000000000000
80 14.5724700 49743497.55000000000000000000
85 14.4386271 53337631.97647058823529411764
